packet_id,delay_ms
1,128.924
2,0.106
3,0.077
4,0.066
5,0.074
6,0.059
7,0.079
8,0.117
9,0.120
10,0.076
11,0.101
12,0.069
13,0.149
14,0.084
15,0.075
16,0.097
17,0.069
18,0.061
19,0.121
20,0.081
21,0.141
22,0.134
23,0.122
24,0.080
25,0.072
26,0.059
27,0.081
28,0.078
29,0.086
30,0.109
31,0.093
32,0.064
33,0.064
34,0.078
35,0.110
36,0.130
37,0.074
38,0.135
39,0.060
40,0.066
41,0.064
42,0.109
43,0.090
44,0.114
45,0.108
46,0.120
47,0.095
48,0.093
49,0.081
50,0.063
51,0.069
52,0.069
53,0.092
54,0.094
55,0.058
56,0.061
57,0.064
58,0.100
59,0.113
60,0.086
61,0.111
62,0.069
63,0.070
64,0.093
65,0.106
66,0.092
67,0.103
68,0.120
69,0.143
70,0.069
71,0.077
72,0.079
73,0.073
74,0.119
75,0.062
76,0.065
77,0.096
78,0.072
79,0.063
80,0.102
81,0.091
82,0.123
83,0.071
84,0.090
85,0.082
86,0.069
87,0.063
88,0.096
89,0.086
90,0.115
91,0.155
92,0.095
93,0.083
94,0.079
95,0.074
96,0.077
97,0.061
98,0.056
99,0.057
100,0.121
